Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
of				
the				
safety				
procedures				
.				
				
A				
16				
-				
year				
-				
old				
hunter				
used				
a				
haul				
line				
,				
but				
it				
was				
tied				
to				
the				
trigger				
guard				
and				
he				
left				
the				
gun				
loaded				
,				
Koppelo				
said				
.				
				
The				
teen				
-				
ager				
'				
s				
gun				
went				
off				
and				
he				
was				
shot				
in				
the				
foot				
.				
				
Others				
are				
hurt				
falling				
out				
of				
trees				
.				
				
Koppelo				
said				
that				
state				
officials				
were				
trying				
to				
keep				
count				
of				
these				
injuries				
but				
that				
it				
was				
difficult				
,				
since				
they				
relied				
on				
hunters				
reporting				
minor				
accidents				
.				
				
`				
`				
A				
lot				
of				
guys				
are				
embarrassed				
,				
'				
'				
Sargent				Sargent_(disambiguation)
said				
.				
				
`				
`				
They				
'				
ll				
say				
they				
fell				
working				
in				
the				
yard				
or				
something				
.				
'				
'				
				
Others				
,				
Koppelo				
says				
,				
do				
not				
want				
to				
report				
accidents				
for				
fear				
the				
law				
will				
be				
changed				
.				
				
And				
she				
adds				
that				
though				
anecdotal				
reports				
show				
Michigan				Michigan
'				
s				
large				
hunting				
population				
to				
be				
taking				
slowly				
to				
firearm				
deer				
hunting				
from				
platforms				
,				
most				
expect				
the				
practice				
to				
catch				
on				
as				
it				
has				
in				
other				
states				
.				
				
As				
Peter	B	Peter_Thompson	--NME--	Peter_Thompson_(English_footballer)
Thompson	I	Peter_Thompson	--NME--	Peter_Thompson_(English_footballer)
,				
a				
16				
-				
year				
-				
old				
hunter				
,				
said				
,				
`				
`				
Usually				
the				
deer				
don				
'				
t				
look				
up				
.				
'				
'				
				
QUICKLY				
&				
LR				
;				
&				
QL				
;				
(				
Repeating				
;				
this				
is				
now				
a				
New				The_New_York_Times
York				The_New_York_Times
Times				The_New_York_Times
front				
-				
page				
story				
)				
&				
QL				
;				
(				
ART				
ADV				
:				
Graphic				
is				
being				
sent				
to				
NYT				The_New_York_Times
graphic				
clients				
.				
				
Nonsubscribers				
can				
purchase				
one				
-				
time				
rights				
by				
calling				
888				
-				
603				
-				
1036				
or				
888				
-				
346				
-				
9867				
.				
)				
&				
QL				
;				
&				
UR				
;				
By				
DAVID				
FIRESTONE				
&				
LR				
;				
&				
QC				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
LR				
;				
&				
QC				
;				
&				
QL				
;				
				
TALLAHASSEE	B	TALLAHASSEE	http://en.wikipedia.org/wiki/Tallahassee,_Florida	Tallahassee,_Florida
,				
Fla	B	Fla.	http://en.wikipedia.org/wiki/Florida	Miami_Marlins
.	I	Fla.	http://en.wikipedia.org/wiki/Florida	
				
_				
Lawyers				
for				
Vice				
President				
Al				Al_Gore
Gore				Al_Gore
said				
Wednesday				
their				
only				
chance				
for				
victory				
in				
his				
contest				
of				
the				
Florida				Florida
election				
would				
be				
shattered				
if				
they				
have				
to				
wait				
until				
Saturday				
to				
begin				
counting				
disputed				
ballots				
,				
and				
they				
began				
an				
appeal				
to				
the				
Florida				Supreme_Court_of_Florida
Supreme	B	Supreme_Court	http://en.wikipedia.org/wiki/Supreme_Court_of_Florida	Supreme_Court_of_Florida
Court	I	Supreme_Court	http://en.wikipedia.org/wiki/Supreme_Court_of_Florida	Supreme_Court_of_Florida
to				
do				
the				
counting				
itself				
,				
immediately				
.				
				
The				
appeal				
was				
filed				
with				
the				
District	B	District_Court_of_Appeal	http://en.wikipedia.org/wiki/Florida_District_Courts_of_Appeal	Florida_District_Courts_of_Appeal
Court	I	District_Court_of_Appeal	http://en.wikipedia.org/wiki/Florida_District_Courts_of_Appeal	Florida_District_Courts_of_Appeal
of	I	District_Court_of_Appeal	http://en.wikipedia.org/wiki/Florida_District_Courts_of_Appeal	Florida_District_Courts_of_Appeal
Appeal	I	District_Court_of_Appeal	http://en.wikipedia.org/wiki/Florida_District_Courts_of_Appeal	Florida_District_Courts_of_Appeal
late				
Wednesday				
afternoon				
,				
and				
will				
be				
submitted				
to				
the				
state				
'				
s				
highest				
court				
early				
Thursday				
,				
Gore				Al_Gore
'				
s				
lawyers				
said				
.				
				
It				
essentially				
asks				
the				
Supreme				Supreme_Court_of_the_United_States
Court				Supreme_Court_of_the_United_States
to				
take				
over				
Gore				Al_Gore
'				
s				
contest				
lawsuit				
from				
the				
slow				
-				
moving				
trial				
court				
,				
to				
count				
the				
ballots				
itself				
,				
and				
eventually				
to				
declare				
Gore				Al_Gore
the				
winner				
if				
he				
wins				
the				
recount				
.				
				
But				
lawyers				
for				
Gov				
.				
George				George_W._Bush
W				George_W._Bush
.				
Bush				George_W._Bush
said				
they				
had				
no				
intention				
of				
allowing				
any				
hand				
counting				
to				
begin				
without				
a				
vigorous				
legal				
fight				
.				
				
To				
that				
end				
,				
they				
persuaded				
Circuit				Circuit_court
Judge				
N				
.				
Sanders				
Sauls				
to				
order				
1.1				
million				
ballots				
_				
every				
vote				
cast				
in				
Miami				Miami
-				
Dade				Dade_County,_Georgia
and				
Palm				Palm_Beach,_Florida
Beach				Palm_Beach,_Florida
counties				
_				
brought				
up				
from				
south				
Florida				Florida
and				
placed				
in				
the				
court				
'				
s				
custody				
.				
				
That				
represents				
83				
times				
the				
number				
of				
disputed				
ballots				
that				
the				
judge				
had				
agreed				
on				
Tuesday				
to				
transport				
to				
Tallahassee				Tallahassee,_Florida
at				
the				
Gore				Al_Gore
team				
'				
s				
request				
.				
				
And				
it				
could				
take				
weeks				
if				
not				
months				
to				
count				
them				
all				
,				
the				
point				
that				
Barry	B	Barry_Richard	--NME--	
Richard	I	Barry_Richard	--NME--	
,				
Bush				George_W._Bush
'				
s				
chief				
trial				
lawyer				
here				
,				
said				
he				
was				
trying				
to				
make				
in				
requesting				
that				
the				
ballots				
be				
transported				
here				
.				
				
`				
`				
We				
did				
it				
to				
make				
a				
point				
,				
'				
'				
Richard				Richard_(disambiguation)
said				
in				
an				
interview				
.				
				
`				
`				
If				
you				
recount				
any				
ballots				
,				
you				
have				
to				
recount				
all				
of				
them				
.				
				
Now				
,				
we				
don				
'				
t				
think				
any				
ballots				
should				
be				
counted				
,				
because				
the				
manual				
recount				
of				
ballots				
is				
finished				
.				
				
But				
in				
the				
event				
the				
court				
determines				
that				
some				
ballots				
should				
be				
counted				
,				
we				
wanted				
them				
here				
so				
they				
could				
all				
be				
counted				
.				
'				
'				
				
Aware				
that				
they				
could				
not				
stop				
the				
movement				
of				
all				
the				
ballots				
,				
Gore				Al_Gore
'				
s				
lawyers				
barely				
objected				
to				
the				
move				
,				
asking				
only				
that				
the				
disputed				
ballots				
that				
might				
contain				
hidden				
Gore				Al_Gore
votes				
be				
separated				
from				
the				
mass				
.				
				
`				
`				
I				
know				
when				
it				
'				
s				
futile				
,				
'				
'				
said				
David				David_Boies
Boies				David_Boies
,				
Gore				Al_Gore
'				
s				
chief				
trial				
lawyer				
,				
to				
Sauls				John_I._Sauls
.				
				
Nonetheless				
,				
Gore				Al_Gore
'				
s				
lawyers				
were				
furious				
at				
the				
move				
,				
aware				
that				
it				
represents				
yet				
another				
enormous				
barrier				
to				
their				
hopes				
for				
an				
immediate				
count				
of				
the				
14,000				
disputed				
ballots				
in				
the				
two				
counties				
and				
a				
quick				
decision				
from				
the				
judge				
that				
Gore				Al_Gore
really				
won				
the				
election				
.				
				
Even				
if				
the				
Florida				Supreme_Court_of_Florida
Supreme				Supreme_Court_of_Florida
Court				Supreme_Court_of_Florida
should				
swiftly				
agree				
to				
their				
request				
and				
orders				
the				
counting				
to				
begin				
by				
Friday				
,				
that				
would				
still				
put				
them				
three				
days				
behind				
their				
original				
timetable				
.				
				
And				
facing				
a				
Dec				
.				
12				
deadline				
for				
the				
state				
to				
name				
electors				
for				
the				
Electoral	B	Electoral_College	http://en.wikipedia.org/wiki/Electoral_College_(United_States)	Electoral_College_(United_States)
College	I	Electoral_College	http://en.wikipedia.org/wiki/Electoral_College_(United_States)	Electoral_College_(United_States)
,				
Gore				Al_Gore
has				
absolutely				
no				
days				
to				
spare				
.				
				
`				
`				
It				
'				
s				
a				
stunt				
,				
'				
'				
said				
Kendall	B	Kendall_Coffey	--NME--	
Coffey	I	Kendall_Coffey	--NME--	
,				
one				
of				
Gore				Al_Gore
'				
s				
election				
lawyers				
,				
as				
he				
stormed				
out				
of				
Sauls				John_I._Sauls
'				
courtroom				
Wednesday				
,				
referring				
to				
the				
request				
for				
all				
the				
ballots				
.				
				
`				
`				
They				
'				
re				
trying				
to				
bog				
down				
the				
case				
,				
the				
system				
,				
the				
clerk				
'				
s				
office				
and				
everywhere				
else				
they				
can				
.				
'				
'				
				
The				
decision				
by				
Gore				Al_Gore
'				
s				
lawyers				
to				
appeal				
the				
case				
shows				
how				
perilous				
their				
situation				
is				
.				
				
By				
appealing				
,				
the				
lawyers				
were				
forced				
to				
put				
on				
paper				
their				
fear				
that				
their				
case				
could				
be				
over				
if				
they				
cannot				
begin				
counting				
ballots				
until				
Saturday				
.				
				
The				
decision				
to				
wait				
until				
a				
Saturday				
hearing				
`				
`				
is				
effectively				
a				
final				
order				
denying				
all				
relief				
sought				
by				
plaintiffs				
because				
the				
action				
now				
pending				
below				
must				
be				
completed				
before				
Dec				
.				
12				
,				
2000				
,				
in				
order				
to				
offer				
any				
relief				
,				
'				
'				
said				
the				
notice				
filed				
with				
the				
Court				Appellate_court
of				Appellate_court
Appeal				Appellate_court
.				
				
It				
adds				
,				
`				
`				
the				
court				
must				
allow				
sufficient				
time				
to				
complete				
an				
accurate				
and				
fair				
count				
of				
the				
contested				
ballots				
,				
which				
is				
essential				
for				
the				
proper				
resolution				
of				
the				
contest				
action				
.				
'				
'				
				
But				
the				
decision				
to				
bring				
up				
all				
the				
ballots				
means				
that				
they				
will				
not				
be				
assembled				
in				
Tallahassee				Tallahassee,_Florida
until				
late				
Friday				
,				
a				
day				
later				
than				
planned				
.				
				
And				
even				
then				
,				
the				
hurdles				
are				
enormous				
.				
				
There				
will				
have				
to				
be				
another				
hearing				
before				
the				
Florida				Supreme_Court_of_Florida
Supreme				Supreme_Court_of_Florida
Court				Supreme_Court_of_Florida
,				
and				
Gore				Al_Gore
'				
s				
lawyers				
will				
have				
to				
refute				
three				
arguments				
to				
be				
raised				
by				
the				
Bush				George_W._Bush
team				
:				
There				
should				
be				
no				
more				
counting				
at				
all				
;				
if				
there				
is				
any				
counting				
,				
it				
will				
have				
to				
include				
all				
1.16				
million				
ballots				
;				
and				
if				
there				
is				
any				
counting				
of				
disputed				
ballots				
,				
dimples				
cannot				
be				
counted				
as				
votes				
.				
				
If				
these				
issues				
are				
heard				
before				
Sanders				Sanders_(disambiguation)
,				
there				
will				
have				
to				
be				
briefs				
,				
witnesses				
,				
and				
evidence				
on				
each				
point				
,				
which				
could				
take				
days				
.				
				
If				
the				
Supreme				Supreme_Court_of_the_United_States
Court				Supreme_Court_of_the_United_States
agrees				
to				
short				
-				
circuit				
the				
process				
,				
there				
will				
still				
have				
to				
be				
lengthy				
briefs				
filed				
,				
and				
the				
court				
may				
need				
to				
wait				
several				
days				
before				
finding				
time				
for				
yet				
another				
momentous				
hearing				
in				
its				
schedule				
.				
				
&				
LR				
;				
(				
ART				
ADV				
:				
Photo				
_				
NYT8				
_				
is				
being				
sent				
to				
NYT				
photo				
clients				
.				
Graphic				
is				
being				
sent				
to				
NYT				The_New_York_Times
graphics				
clients				
.				
Nonsubscribers				
can				
make				
one				
-				
time				
purchases				
by				
calling				
888				
-				
603				
-				
1036				
or				
888				
-				
346				
-				
9867				
.				
)				
&				
QL				
;				
&				
UR				
;				
By				
LAURENCE				
ZUCKERMAN				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
				
Booking				
Your				
Ticket				
:				
				
_				
Fly				
nonstop				
.				
				
The				
fewer				
connections				
you				
make				
,				
the				
lower				
the				
chance				
that				
you				
will				
suffer				
a				
delay				
.				
				
_				
Pick				
airports				
with				
care				
.				
				
If				
you				
have				
to				
connect				
,				
choose				
the				
least				
-				
congested				
airport				
possible				
;				
some				
airports				
,				
like				
Chicago	B	Chicago_O'Hare	http://en.wikipedia.org/wiki/O'Hare_International_Airport	
O	I	Chicago_O'Hare	http://en.wikipedia.org/wiki/O'Hare_International_Airport	
'	I	Chicago_O'Hare	http://en.wikipedia.org/wiki/O'Hare_International_Airport	
Hare	I	Chicago_O'Hare	http://en.wikipedia.org/wiki/O'Hare_International_Airport	
and				
La	B	La_Guardia	http://en.wikipedia.org/wiki/LaGuardia_Airport	LaGuardia_Airport
Guardia	I	La_Guardia	http://en.wikipedia.org/wiki/LaGuardia_Airport	LaGuardia_Airport
in				
New	B	New_York	http://en.wikipedia.org/wiki/New_York_City	New_York_City
York	I	New_York	http://en.wikipedia.org/wiki/New_York_City	New_York_City
,				
experience				
chronic				
delays				
.				
				
Take				
into				
consideration				
the				
weather				
and				
the				
season				
;				
an				
airport				
in				
the				
South	B	South	http://en.wikipedia.org/wiki/Southern_United_States	Southern_United_States
might				
have				
fewer				
winter				
snowstorms				
but				
more				
spring				
and				
summer				
thunderstorms				
.				
				
_				
Check				
times				
between				
connecting				
flights				
.				
				
Airlines				
often				
book				
tight				
connections				
and				
do				
not				
take				
responsibility				
if				
you				
miss				
yours				
.				
				
Assume				
each				
leg				
of				
your				
flight				
will				
arrive				
late				
,				
and				
book				
connections				
that				
allow				
ample				
time				
.				
				
_				
Check				
on				
-				
time				
records				
.				
				
The				
Transportation	B	Transportation_Department	http://en.wikipedia.org/wiki/United_States_Department_of_Transportation	United_States_Department_of_Transportation
Department	I	Transportation_Department	http://en.wikipedia.org/wiki/United_States_Department_of_Transportation	United_States_Department_of_Transportation
requires				
major				
domestic				
airlines				
to				
make				
the				
on				
-				
time				
record				
for				
every				
flight				
available				
to				
consumers				
.				
				
You				
can				
check				
online				
at				
www				
.				
dot				
.				
gov				
/				
airconsumer				
.				
				
That				
site				
also				
reports				
each				
airline				
'				
s				
on				
-				
time				
record				
for				
the				
previous				
month				
.				
				
_				
Travel				
on				
off				
-				
peak				
days				
and				
at				
off				
-				
peak				
times				
.				
				
Saturday				
is				
usually				
the				
least				
-				
traveled				
day				
of				
the				
week				
;				
so				
are				
major				
holidays				
.				
				
Monday				
mornings				
and				
Friday				
afternoons				
are				
peak				
travel				
times				
for				
business				
travelers				
.				
				
Flights				
leaving				
earlier				
in				
the				
day				
are				
less				
likely				
to				
be				
delayed				
,				
because				
of				
the				
cascading				
effect				
that				
disruptions				
have				
on				
airline				
schedules				
.				
				
_				
Use				
smaller				
airports				
.				
				
Instead				
of				
Los	B	Los_Angeles_International	http://en.wikipedia.org/wiki/Los_Angeles_International_Airport	Los_Angeles_International_Airport
Angeles	I	Los_Angeles_International	http://en.wikipedia.org/wiki/Los_Angeles_International_Airport	Los_Angeles_International_Airport
International	I	Los_Angeles_International	http://en.wikipedia.org/wiki/Los_Angeles_International_Airport	Los_Angeles_International_Airport
,				
for				
example				
,				
consider				
flying				
into				
Burbank	B	Burbank	http://en.wikipedia.org/wiki/Bob_Hope_Airport	Burbank,_California
or				
John	B	John_Wayne_Airport	http://en.wikipedia.org/wiki/John_Wayne_Airport	John_Wayne_Airport
Wayne	I	John_Wayne_Airport	http://en.wikipedia.org/wiki/John_Wayne_Airport	John_Wayne_Airport
Airport	I	John_Wayne_Airport	http://en.wikipedia.org/wiki/John_Wayne_Airport	John_Wayne_Airport
in				
Orange	B	Orange_County	http://en.wikipedia.org/wiki/Orange_County,_California	Orange_County,_California
County	I	Orange_County	http://en.wikipedia.org/wiki/Orange_County,_California	Orange_County,_California
,				
Calif	B	Calif	http://en.wikipedia.org/wiki/California	California
.				
,				
or				
use				
Westchester	B	Westchester_County_Airport	http://en.wikipedia.org/wiki/Westchester_County_Airport	Westchester_County_Airport
County	I	Westchester_County_Airport	http://en.wikipedia.org/wiki/Westchester_County_Airport	Westchester_County_Airport
Airport	I	Westchester_County_Airport	http://en.wikipedia.org/wiki/Westchester_County_Airport	Westchester_County_Airport
instead				
of				
JFK	B	JFK	http://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport	John_F._Kennedy_International_Airport
in				
New				New_York_City
York				New_York_City
.				
				
_				
Avoid				
electronic				
tickets				
.				
				
Though				
they				
are				
convenient				
and				
more				
secure				
than				
an				
easily				
lost				
paper				
ticket				
,				
they				
are				
not				
transferable				
between				
most				
airlines				
if				
you				
need				
to				
switch				
carriers				
because				
of				
delays				
.				
				
_				
Watch				
for				
labor				
disruptions				
.				
				
Check				
newspapers				
and				
Web				
sites				
like				
www				
.				
thenewfoundlandgroup				
.				
com				
to				
identify				
airlines				
experiencing				
labor				
strife				
,				
which				
often				
increases				
cancellations				
and				
delays				
.				
				
_				
Leave				
a				
number				
.				
				
Make				
sure				
the				
airline				
you				
book				
with				
has				
a				
phone				
number				
at				
which				
you				
can				
be				
notified				
of				
delays				
or				
cancellations				
.				
				
_				
Use				
a				
travel				
agent				
.				
				
A				
good				
one				
can				
be				
a				
great				
ally				
in				
the				
event				
of				
a				
problem				
_				
and				
may				
save				
you				
time				
and				
money				
.				
				
Day				
of				
Departure				
:				
				
_				
Be				
informed				
.				
				
Check				
your				
flight				
'				
s				
status				
before				
heading				
to				
the				
airport				
.				
				
Automated				
telephone				
services				
or				
airline				
Web				
sites				
often				
provide				
more				
up				
-				
to				
-				
date				
information				
than				
do				
ticket				
agents				
.				
				
The				
Federal	B	Federal_Aviation_Administration	http://en.wikipedia.org/wiki/Federal_Aviation_Administration	Federal_Aviation_Administration
Aviation	I	Federal_Aviation_Administration	http://en.wikipedia.org/wiki/Federal_Aviation_Administration	Federal_Aviation_Administration
Administration	I	Federal_Aviation_Administration	http://en.wikipedia.org/wiki/Federal_Aviation_Administration	Federal_Aviation_Administration
'				
s				
Web				
site				
,				
www				
.				
fly				
.				
faa				
.				
gov				
,				
has				
real				
-				
time				
information				
on				
operations				
at				
the				
biggest				
airports				
.				
				
_				
Pack				
defensively				
.				
				
Take				
along				
a				
change				
of				
clothes				
and				
a				
toothbrush				
in				
your				
carry				
-				
on				
bag				
.				
				
If				
traveling				
with				
an				
infant				
,				
take				
24				
hours				
'				
worth				
of				
diapers				
and				
extra				
formula				
.				
				
When				
possible				
,				
avoid				
checking				
luggage				
,				
in				
case				
you				
need				
to				
switch				
flights				
or				
carriers				
.				
				
Ship				
your				
gifts				
ahead				
.				
				
_				
Educate				
yourself				
.				
				
Find				
out				
what				
your				
airline				
promises				
to				
do				
for				
passengers				
in				
the				
event				
of				
a				
delay				
.				
				
Print				
out				
a				
copy				
of				
the				
policy				
from				
the				
airline				
'				
s				
Web				
site				
,				
and				
carry				
it				
with				
you				
_				
in				
case				
the				
airline				
representatives				
need				
a				
reminder				
.				
				
If				
a				
Flight				
Is				
Delayed				
:				
				
_				
Keep				
your				
cool				
.				
				
Becoming				
angry				
at				
airline				
personnel				
is				
counterproductive				
.				
				
Sympathy				
for				
their				
plight				
will				
sometimes				
produce				
results				
.				
				
_				
Don				
'				
t				
stand				
in				
line				
.				
				
To				
get				
on				
another				
flight				
,				
it				
is				
often				
more				
effective				
to				
call				
the				
airline				
from				
the				
airport				
than				
to				
wait				
at				
the				
ticket				
counter				
.				
				
Carry				
a				
cell				
phone				
;				
if				
delays				
are				
widespread				
,				
public				
telephones				
may				
be				
in				
demand				
.				
				
_				
Check				
the				
competition				
.				
				
If				
another				
airline				
has				
seats				
to				
your				
destination				
,				
ask				
your				
airline				
to				
endorse				
your				
ticket				
to				
the				
other				
line				
.				
				
_				
Get				
what				
you				
paid				
for				
.				
				
If				
you				
paid				
full				
fare				
or				
are				
a				
high				
-				
mileage				
frequent				
flier				
,				
let				
the				
airline				
know				
.				
				
Your				
odds				
of				
getting				
a				
seat				
on				
the				
next				
flight				
out				
will				
increase				
,				
or				
the				
airline				
might				
pay				
for				
your				
hotel				
,				
if				
you				
are				
delayed				
overnight				
.				
				
_				
Consider				
driving				
.				
				
If				
the				
last				
leg				
of				
your				
flight				
is				
a				
200				
-				
mile				
hop				
,				
renting				
a				
car				
might				
be				
a				
better				
choice				
than				
waiting				
out				
a				
delay				
.				
				
Getting				
Even				
:				
				
_				
Write				
a				
letter				
.				
				
The				
airlines				
have				
pledged				
to				
respond				
to				
consumer				
complaints				
within				
60				
days				
.				
				
They				
almost				
always				
offer				
a				
refund				
,				
reimbursement				
of				
expenses				
,				
a				
discount				
on				
your				
next				
ticket				
_				
or				
all				
three				
.				
				
Be				
sure				
to				
save				
the				
relevant				
paperwork				
.				
				
_				
Make				
it				
a				
federal				
case				
.				
				
Send				
a				
copy				
of				
your				
letter				
to				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
.				
				
Complaints				
are				
charged				
against				
each				
airline				
in				
the				
Transportation				United_States_Department_of_Transportation
Department				United_States_Department_of_Transportation
'				
s				
monthly				
Air				
Travel				
Consumer				
Report				
and				
serve				
as				
a				
basis				
for				
rule				
making				
and				
enforcement				
action				
.				
				
Write				
to				
:				
Aviation	B	Aviation_Consumer_Protection_Div	http://en.wikipedia.org/wiki/Airline_complaints	
Consumer	I	Aviation_Consumer_Protection_Div	http://en.wikipedia.org/wiki/Airline_complaints	
Protection	I	Aviation_Consumer_Protection_Div	http://en.wikipedia.org/wiki/Airline_complaints	
Div	I	Aviation_Consumer_Protection_Div	http://en.wikipedia.org/wiki/Airline_complaints	
.				
(				
C				
-				
75				
)				
				
Department				United_States_Department_of_Transportation
of				United_States_Department_of_Transportation
Transportation				United_States_Department_of_Transportation
				United_States_Department_of_Transportation
400	B	400_Seventh_St._S.W.	--NME--	
Seventh	I	400_Seventh_St._S.W.	--NME--	
St	I	400_Seventh_St._S.W.	--NME--	
.	I	400_Seventh_St._S.W.	--NME--	
S	I	400_Seventh_St._S.W.	--NME--	
.	I	400_Seventh_St._S.W.	--NME--	
W	I	400_Seventh_St._S.W.	--NME--	
.	I	400_Seventh_St._S.W.	--NME--	
				
Washington				Washington,_D.C.
,				
DC				Dc_(disambiguation)
20590				
				
From				
BBC	B	BBC_News	http://en.wikipedia.org/wiki/BBC_News	BBC_News
News	I	BBC_News	http://en.wikipedia.org/wiki/BBC_News	BBC_News
in				
London	B	London	http://en.wikipedia.org/wiki/London	London
,				
I				
am				
Gregor				
Craigy				
for				
The				The_World_(disambiguation)
World				The_World_(disambiguation)
.				
				
A				
Singapore				Singapore_Airlines
Airlines				Singapore_Airlines
747				
flying				
from				
Taiwan	B	Taiwan	http://en.wikipedia.org/wiki/Taiwan	Taiwan
to				
Los	B	Los_Angeles	http://en.wikipedia.org/wiki/Los_Angeles	Los_Angeles
Angeles	I	Los_Angeles	http://en.wikipedia.org/wiki/Los_Angeles	Los_Angeles
has				
crashed				
.				
				
Flight				
SQ006				
was				
carrying				
179				
passengers				
and				
crew				
when				
it				
crashed				
in				
flames				
shortly				
after				
take				
off				
.				
				
At				
least				
65				
people				
are				
known				
to				
have				
been				
killed				
and				
around				
30				
passengers				
remain				
unaccounted				
for				
.				
				
David	B	David_Chezan	--NME--	
Chezan	I	David_Chezan	--NME--	
reports				
.				
				
Survivors				
from				
the				
Singapore				Singapore_Airlines
Airlines				Singapore_Airlines
flight				
described				
how				
the				
plane				
was				
taxing				
down				
the				
runway				
when				
there				
was				
a				
loud				
noise				
and				
the				
aircraft				
split				
in				
two				
.				
				
An				
American				United_States
passenger				
said				
he				
had				
almost				
decided				
not				
to				
board				
the				
plane				
because				
of				
what				
he				
called				
unbelievable				
wind				
and				
rain				
.				
				
Survivors				
described				
how				
the				
tail				
section				
turned				
over				
several				
times				
,				
leaving				
passengers				
hanging				
by				
their				
safety				
belts				
,				
some				
were				
quickly				
engulfed				
by				
flames				
.				
				
One				
survivor				
described				
saying				
a				
man				
,				
as				
he				
put				
it				
,				
lit				
up				
like				
a				
torch				
.				
				
Flames				
shot				
up				
right				
next				
to				
me				
and				
there				
was				
jet				
fuel				
all				
over				
the				
place				
,				
he				
said				
.				
				
David				
Chezan				
,				
BBC				BBC_News
News				BBC_News
.				
				
The				
Palestinian				State_of_Palestine
faction				
headed				
by				
Yasser	B	Yasser_Arafat	http://en.wikipedia.org/wiki/Yasser_Arafat	Yasser_Arafat
Arafat	I	Yasser_Arafat	http://en.wikipedia.org/wiki/Yasser_Arafat	Yasser_Arafat
said				
today				
that				
,				
it				
will				
avenge				
the				
deaths				
of				
four				
of				
its				
members				
who				
were				
killed				
today				
by				
Israeli				Israel
soldiers				
.				
				
Later				
in				
the				
day				
,				
a				
car				
bombing				
in				
the				
Northern				
Israeli				
town				
of				
Hadera				Hadera
,				
killed				
two				
people				
and				
injured				
at				
least				
50				
.				
				
Israeli				Israel
Prime				
Minister				
Ehud				Ehud_Barak
Barak				Ehud_Barak
said				
he				
would				
retaliate				
.				
				
Corey	B	Corey_Flintoff	http://en.wikipedia.org/wiki/Corey_Flintoff	Corey_Flintoff
Flintoff	I	Corey_Flintoff	http://en.wikipedia.org/wiki/Corey_Flintoff	Corey_Flintoff
,				
NPR	B	NPR_news	http://en.wikipedia.org/wiki/National_Public_Radio	NPR
news	I	NPR_news	http://en.wikipedia.org/wiki/National_Public_Radio	
,				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
.				
				
Documented				
.				
From				
NPR	B	NPR_news	http://en.wikipedia.org/wiki/National_Public_Radio	NPR
news	I	NPR_news	http://en.wikipedia.org/wiki/National_Public_Radio	
in				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
,				
I				
'				
m				
Corey				Corey_Flintoff
Flintoff				Corey_Flintoff
.				
				
A				
Florida				Florida_State_University
State				Florida_State_University
judge				
has				
ordered				
local				
election				
officials				
to				
ship				
thousands				
of				
ballots				
to				
the				
state				
capital				
.				
				
The				
move				
comes				
as				
the				
judge				
decides				
whether				
to				
order				
a				
recount				
of				
those				
ballots				
in				
the				
presidential				
election				
.				
				
NPR				NPR
'				
s				
Steve	B	Steve_Inski	--NME--	
Inski	I	Steve_Inski	--NME--	
was				
in				
the				
courtroom				
.				
				
Steve				Steve_Jobs
,				
what				
are				
the				
issues				
that				
came				
up				
in				
this				
hearing				
tonight				
?				
				
Corey				Corey_Flintoff
judge				
N				
.				
Sander				
Sauls				
is				
deciding				
whether				
to				
order				
a				
recount				
as				
you				
said				
of				
those				
ballots				
,				
9000				
or				
more				
actually				
from				
Miami	B	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami_Dade_County,_Florida	Miami-Dade_County,_Florida
Dade	I	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami_Dade_County,_Florida	Miami-Dade_County,_Florida
County	I	Miami_Dade_County	http://en.wikipedia.org/wiki/Miami_Dade_County,_Florida	Miami-Dade_County,_Florida
that				
apparently				
were				
never				
counted				
at				
all				
,				
at				
least				
according				
to				
the				
Democrats	B	Democrats	http://en.wikipedia.org/wiki/Democratic_Party_(United_States)	Democratic_Party_(United_States)
in				
the				
presidential				
election				
and				
about				
3300				
ballots				
from				
Palm	B	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
Beach	I	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
County	I	Palm_Beach_County	http://en.wikipedia.org/wiki/Palm_Beach_County,_Florida	Palm_Beach_County,_Florida
that				
were				
considered				
by				
local				
officials				
but				
then				
thrown				
out				
,				
disallowed				
.				
				
Judge				
Sauls				John_I._Sauls
is				
deciding				
whether				
to				
count				
those				
ballots				
and				
go				
